"record_id","source_row_no","source_record_sha256","release_slot","scheduled_release_at","area_no","area_nm","p_area_no","p_area_nm","top_area_no","top_area_nm","top_area_lvl","mgr_no","mgr_nm","mgr_dept_nm","mgr_pos_nm","mgr_hire_dtm","mgr_act_yn","area_reg_dtm","top_area_reg_dtm"
"153751","1","1199e95c6396552ea34bf59ea19853ad5529131c98663fb405c90cc3fccb0d3b","0","2026-08-24T16:12:00+09:00","BIZ11608","보안관리","BIZ00170","기획","BIZ_00170","기획	","최상위","emp000038","이민서","분 석팀","　팀장　","2021-12-01T05:30:46","사용","2018-10-25T09:31:19","2019-11-04 00:52:02.0"
"153752","2","44ccd50354897fea3ab5dadd0e77bd40be1e097a493e562c8fc8f337679f47d8","0","2026-08-24T16:12:00+09:00","BIZ-31536","전략플랫폼 49","BIZ_00379","인사","BIZ_00379"," 인사 ","TOP_LEVEL"," EMP001103 "," 김수아 ","생산팀","과장","2026/05/12 09:58:06","재직","2017-07-06 05:51:27","2021/11/28 04:43:22"
"153753","3","853f685e3e11dc995b0706bd1d5397fb85eefed1b6ac493e8c6285e87c655ff2","0","2026-08-24T16:12:00+09:00","BIZ_38290","교육플랫폼","BIZ-00788","R&D","BIZ 00788","R&D","TOP LEVEL","EMP 001921","강서준","교육운영팀","차장","2021-09-24T09:48:02","재직","2025-04-20T08:42:42","2018.01.18 06:20:01"
"153754","4","78a7bdc32bc5357d524a213401da6182914baa01c50b75e7dd28be98c228d737","0","2026-08-24T16:12:00+09:00"," BIZ_19140 ","IT프로세스","BIZ_00324","교육","BIZ_00324","교육","TOP_LEVEL","EMP002583"," 박주원 ","IT운영팀","실장	","2013.02.18 04:34:59","재직","20170426002747","2016-02-17T18:09:38"
"153755","5","7c8d76e218906b079743c61bca32592ebd31fb18d8f9155152d2650232887b88","0","2026-08-24T16:12:00+09:00","BIZ 17549","기획분석 35"," BIZ_00808 ","생산","BIZ_00808","생산	","TOP_LEVEL","EMP000436","윤준서"," 인사팀 ","부장	","2016/09/24 18:38:46","YES"," 20170207073524 ","2017-06-24 09:33:51"
"153756","6","2514e1953b46a9c6c7849711e862b9ba2b3238418bde8211ff835ed7df4a6ed1","0","2026-08-24T16:12:00+09:00","BIZ-21390","품질관리플랫폼","BIZ00755"," 생산 ","biz-00755","생산	","TOP LEVEL","EMP 000748","김시우","기획팀"," 과장 "," 20120107110149 ","사용","2024-09-25 08:25:17","2018-07-11 11:02:19"
"153757","7","5eb2700da56391f7f6910c509f8f6ba6520cf2029bc5b51bcd3b5761061a6223","0","2026-08-24T16:12:00+09:00","BIZ 17492","품질관리부","BIZ 00456","　데이터　","BIZ_00456","데이터","top_level","EMP000505","정지민","교육운영팀","과장"," 2018/03/01 06:54:20 ","YES","2017-05-08 01:09:43","2018-03-03 19:42:31.0"
"153758","8","372d07ad739475e303406d989e269228a2f85ee284afbf7c2ef4b990e8b1b596","0","2026-08-24T16:12:00+09:00","BIZ_45791","인사분석","BIZ00402"," 인사 ","BIZ_00402","인사","TOP_LEVEL","EMP001268","장 예은","교육운영팀","　팀장　"," 2017-05-24 05:01:04 ","1","2019/07/08 15:03:57","2020.08.29 04:51:42"
"153759","9","561bb8a1bd9b55b63a683a457af1889007575ab1a08c1c431435d18bb758cd09","0","2026-08-24T16:12:00+09:00","BIZ_00060","법무","없음","-","BIZ_00060","　법무　","TOP LEVEL","EMP000154","장 시우","　생산팀　","　사원　","2016-08-17 11:48:00.0","y","2021.01.31 03:58:32","2023.06.12 08:30:00"
"153760","10","bbf36acb98a645e2382a4245ade95460d426ffe091cdb54e68d7516cca9d6488","0","2026-08-24T16:12:00+09:00"," BIZ_13839 ","　인사플랫폼　","BIZ_00753"," 재무 ","BIZ 00753","재무","L1","EMP000306","윤서준","데 이터팀","실장","20080620083746","Y","2016-12-23 12:50:50","2016.04.28 00:31:34"
"153761","11","dc878059b6a976c3b5b6e313b3ae2aef00385f409a77786d55636db2173267bf","0","2026-08-24T16:12:00+09:00","BIZ_42151","물류분석","BIZ_00238","재무","biz_00238"," 재무 ","1","emp000416","조서연","품질관리팀","실장","20260516141651","YES","2016.05.14 10:27:47","2025-03-30T16:35:07"
"153762","12","83be0d2390a105656074659fd8fe342b7944653215c45f8a953591d025173882","0","2026-08-24T16:12:00+09:00","BIZ_29044","전략플랫폼","BIZ00205","시설","BIZ_00205","시설","top_level","EMP001752","임지민	","교육운영팀	","차장","2008-07-28 03:37:27.0","0","2025-08-11 13:01:03","2024.09.18 21:09:01"
"153763","13","6cd17791e2876dbf1ab1fa828e0ba7716a20def54f99a7de95772daac6a04df1","0","2026-08-24T16:12:00+09:00","BIZ_45993","자산관리운영","BIZ_00706","I T","BIZ_00706"," IT ","1"," EMP002483 ","이민서	","인사팀	","과장","2022/06/10 18:33:56","1"," 2019/09/04 14:33:38 ","2023-12-30 09:36:12"
"153764","14","d6418d5f73d1073fc335aca882f9a5f950a53488f24c518d6a0f01ed2e53b797","0","2026-08-24T16:12:00+09:00","BIZ18141","분석부","biz_00274"," 생산 ","BIZ00274","생 산","최상위","EMP000313","정예준","자산관리팀","사원","2017/03/16 12:36:14","퇴직","2021/06/06 10:05:51","2017-10-16 00:10:21"
"153765","15","fe23e8bffc2766a498ee7cb4b7c61e6e8287717cd049c7bd94a5c3c87a6d156c","0","2026-08-24T16:12:00+09:00","BIZ_11177","영업관리","biz-00282","분석","BIZ-00282","분석","최상위","EMP001115","김 지훈","재무팀","부장","2012.03.25 18:23:03","Y","2025-04-17 16:48:19","2017-03-19T13:19:21"
"153766","16","22488452e257a3ead9abdcb5507817756abc7c847043c8f23310e15b4cdcb377","0","2026-08-24T16:12:00+09:00","BIZ_22629"," 마케팅운영 ","BIZ 00564","시설	","BIZ-00564","시설","L1","EMP002127","임하은","재무팀","부장","2009-01-29 14:11:39.0","YES","2016-09-07 23:26:26","2023.10.13 02:19:09"
"153767","17","f051db27fab2d41a9f8dad77d77a7271556ea21577b092b0f9ca770eacc4ea38","1","2026-08-24T16:15:00+09:00","BIZ_20330","자산관리플랫폼","BIZ_00800","자산관리","BIZ_00800","자산관리	","TOP_LEVEL","EMP002119","강예준","데 이터팀","사원","20180929105539","YES","2021/03/18 11:32:51","2024-05-03 07:11:26.0"
